Name,Rating,Link,Address,Timing,,
 Sahayadri Kirana and General Store ,11 Ratings,https://www.justdial.com/Latur/Sahayadri-Kirana-and-General-Store-Opposite-Cocsit-College-Latur-Ho/9999P2382-2382-171016175047-R5D1_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Ambejogai Road Latur Ho,7:30 AM,7947318921,
 Mahalakshmi Super Market ,3 Ratings,https://www.justdial.com/Latur/Mahalakshmi-Super-Market-Near-Reddy-Petrol-Pump-Ahmedpur-Latur/9999P2382-2382-220103143735-L6G8_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,College Road Ahmedpur Latur,None,7947171453,
 Om Laxmi Narsinh Kirana Stores ,17 Ratings,https://www.justdial.com/Latur/Om-Laxmi-Narsinh-Kirana-Stores-Khadgaon-Road-Latur-HO/9999P2382-2382-140410152619-S9J6_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Sambhaji Nagar Latur HO,8:30 AM,7947319012,
 avszon ,6 Ratings,https://www.justdial.com/Lucknow/Avszon-NEAR-BABA-HOSPITAL-Chinhat/0522PX522-X522-211013225658-E7W1_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Kanchanpur Matiyari Chinhat,7:00 AM,7942596403,
 FRH Trading Company ,2 Ratings,https://www.justdial.com/Lucknow/FRH-Trading-Company-Opposite-Hyundai-Showroom-Mahanagar/0522PX522-X522-220127122311-M9F2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Mahanagar,None,7947330673,
 Rizwan Kirana Store ,35 Ratings,https://www.justdial.com/Lucknow/Rizwan-Kirana-Store-Near-Kallu-Attar-Yahiyaganj/0522PX522-X522-210827171529-B6Z3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Road Yahiyaganj Yahiyaganj,10:00 AM,7947351727,
 Sindhi Shop ,3 Ratings,https://www.justdial.com/Ludhiana/Sindhi-Shop-Near-Pvr-Mall-Sarabha-Nagar-Ludhiana/0161PX161-X161-130923120009-Y7G8_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Sarabha Nagar Ludhiana,9:00 AM,7947392374,
 Sri Bharathi Stores ,18 Ratings,https://www.justdial.com/Madurai/Sri-Bharathi-Stores-Near-Sri-Bharathi-Stores-Busstop-Narayanapuram/0452PX452-X452-160720124016-E3I3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,New Natham Road Narayanapuram,8:30 AM,7947266087,
 Alagendran Supermart Pvt Ltd ,745 Ratings,https://www.justdial.com/Madurai/Alagendran-Supermart-Pvt-Ltd-Alagappa-Nagar/0452PX452-X452-180814224305-H3R3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Road Alagappa Nagar,None,7947266472,
 Rathinam Super Market ,27 Ratings,https://www.justdial.com/Madurai/Rathinam-Super-Market-Vandipettai-Usilampatti/0452PX452-X452-180206032302-S6N3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Peraiyur Main Road Usilampatti,9:00 AM,7947368917,
 Vasantham Super Market ,1,005 Ratings,https://www.justdial.com/Madurai/Vasantham-Super-Market-Koodal-Nagar/0452PX452-X452-181207170918-Q6L3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Palamedu Main Road Koodal Nagar,None,7947266569
 Ponnuthai Department Store ,17 Ratings,https://www.justdial.com/Madurai/Ponnuthai-Department-Store-Near-Railway-Colony-Maapalayam/0452PX452-X452-201105140452-D9T2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Bharathidhasan Road Maapalayam,9:00 AM,8045774215,
 Shreee Aaraadya Mart ,3 Ratings,https://www.justdial.com/Mahabubnagar/Shreee-Aaraadya-Mart-Signal-Gadda-Circle-Road-Jadcherla/9999P8542-8542-200807103108-M3X4_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Sri Hari Towers Jadcherla,7:00 AM,7947395681,
 Maruthi Super Market ,4 Ratings,https://www.justdial.com/Mangalore/Maruthi-Super-Market-Opposite-to-Kavoor-Government-School-Kavoor-Junction-Kavoor/0824PX824-X824-140619115112-U3M2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Kottara Chowki,9:30 AM,7947272479,
 Fathima Traders ,2 Ratings,https://www.justdial.com/Mangalore/Fathima-Traders-Maidan-Road/0824PX824-X824-180201111206-S6B5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Airport Road Kavoor,None,7947061358,
 Beezy Mart ,2 Ratings,https://www.justdial.com/Meerut/Beezy-Mart-Pcs-Mal-Shastri-Nagar-Meerut/9999PX121-X121-210929135051-D7P7_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Pvs Road Shastri Nagar Meerut,8:00 AM,7947467024,
 Arora Shopping Centre ,2 Ratings,https://www.justdial.com/Meerut/Arora-Shopping-Centre-Near-Stadium-Chowk-Saket/9999PX121-X121-190622122338-P7H8_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,House No-117/4 Saket,None,7947266340,
 Chaitanya Kirana Mart ,20 Ratings,https://www.justdial.com/Muzaffarpur/Chaitanya-Kirana-Mart-Durga-Asthan-Muzaffarpur-Ho/9999PX621-X621-190726132903-K7M3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Dumri Road Muzaffarpur Ho,9:00 AM,7947477700,
 Loyal World ,6,300 Ratings,https://www.justdial.com/Mysore/Loyal-World-Opposite-to-Post-Office-Vani-Vilas-Mohalla/0821P821STD2000301_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Temple Road Vani Vilas Mohalla,9:00 AM,7947297871
 Heritage Super Mart ,109 Ratings,https://www.justdial.com/Mysore/Heritage-Super-Mart-OPP-Laxmi-Hotel-Kr-Mohalla/0821PX821-X821-200118124243-X8X9_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Temple Street Kr Mohalla,None,7947299490,
 Shree Daily MART ,6 Ratings,https://www.justdial.com/Mysore/Shree-Daily-MART-Agrahara-Circle-Agrahara/0821PX821-X821-220219105148-P5E3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,No502 Agrahara,9:00 AM,7942608362,
 GANESH SUPER MARKET ,1,817 Ratings,https://www.justdial.com/Nagercoil/GANESH-SUPER-MARKET-Opposite-Slb-School/9999P4652-4652-110124110940-U7K1_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Court Road,9:00 AM,7947330652
 A1 Wanis Super Bazaar LLP ,25 Ratings,https://www.justdial.com/Nashik/A1-Wanis-Super-Bazaar-LLP-Old-Gangapur-Naka/0253PX253-X253-211218183550-R7P1_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Gangapur Road Old Gangapur Naka,10:30 AM,7947455195,
 Food Bassket ,22 Ratings,https://www.justdial.com/Nashik/Food-Bassket-Next-to-Swami-Samarth-Mandir-Nashik-Road/0253PX253-X253-161105093149-S9X9_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Nashik Road,None,7947402226,
 Nilay Kirana And Foods ,7 Ratings,https://www.justdial.com/Nashik/Nilay-Kirana-And-Foods-Behind-Kk-Wagh-College-Panchavati/0253PX253-X253-171226132506-M9D7_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Mira Datar Road Panchavati,9:00 AM,7947253391,
 SS SUPER MARKET ,8 Ratings,https://www.justdial.com/Nellore/SS-SUPER-MARKET-Beside-Purushotham-Enterprises-Mulapeta/9999PX861-X861-220709120100-K4Y3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Main Street Magunta Layout,8:30 AM,7947255241,
 D Mart ,1 Ratings,https://www.justdial.com/Nellore/D-Mart-Near-Magunta-Layout-Ravindra-Nagar-Bhaktavatsalanagar/9999PX861-X861-170830142339-E4B9_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Road Prameswari Nagar Mulapeta,None,7942599131,
 BR Khoda Bazar ,5 Ratings,https://www.justdial.com/Delhi/BR-Khoda-Bazar-Near-By-Kalu-Cement-Agency-Khora-Colony-Noida/011PXX11-XX11-220902133027-I5C2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Cement Agency Khora Colony Noida,7:00 AM,7947222595,
 Bg Supermart ,15 Ratings,https://www.justdial.com/Delhi/Bg-Supermart-Nr-Skin-InstituteJamrudpur-Zamrudpur-Greater-Kailash-1/011P1239002019F3I6B6_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Zamrudpur-Greater Kailash 1,1 Year in Business,7947220542,
 Health Way Departmental Store ,38 Ratings,https://www.justdial.com/Delhi/Health-Way-Departmental-Store-Opposite-Ajanta-Apartments-Dda-Market-Indraprastha-Extension/011PXX11-XX11-110917125323-N1V3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Indraprastha Extension,8:00 AM,7947213775,
 Anand General Stores ,228 Ratings,https://www.justdial.com/Delhi/Anand-General-Stores-Near-Lok-Nayak-Bhawan-Khan-Market/011PD000671_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,63 A Khan Market,None,7947210606,
 Lala Ki Dukaan ,36 Ratings,https://www.justdial.com/Delhi/Lala-Ki-Dukaan-Near-Sushant-Aquapolis-Crossing-Republik/011PXX11-XX11-201113154622-A8M8_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Shop No 1 Crossing Republik,7:00 AM,7947466885,
 Gupta Departmental Store ,63 Ratings,https://www.justdial.com/Delhi/Gupta-Departmental-Store-Near-Jain-Mandir-Yamuna-Vihar/011P1230060022V8S2T5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,C-6/6 Yamuna Vihar,None,7947209956,
 Daily Needs ,990 Ratings,https://www.justdial.com/Delhi/Daily-Needs-Malviya-Nagar/011PXX11-XX11-140725130900-Z8U3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,45Corner Market Malviya Nagar,11:00 AM,7947276032,
 A One Drug Store ,30 Ratings,https://www.justdial.com/Delhi/A-One-Drug-Store-Near-Khirki-Extension-Khirki-Malviya-Nagar/011PXX11-XX11-161017111448-B3A7_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Khirki-Malviya Nagar,None,7942601904,
 T Mart ,328 Ratings,https://www.justdial.com/Nizamabad/T-Mart-Opp-Sub-Station-Hyderabad-Road-Nizamabad-HO/9999P8462-8462-200718124327-C2J4_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Arya Nagar Nizamabad HO,8:00 AM,7947347211,
 Fresh & All Supermarket ,12 Ratings,https://www.justdial.com/Chandigarh/Fresh-All-Supermarket-Behind-Hotel-The-Cove-Panchkula-Sector-5/0172PX172-X172-220525152445-H3E5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,SCO-54 Panchkula Sector 5,8:30 AM,7942608609,
 Gupta Stores ,160 Ratings,https://www.justdial.com/Chandigarh/Gupta-Stores-Main-Market-Panchkula-Sector-4/0172PX172-X172-151218124144-P5E8_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,SCF 42 Panchkula Sector 4,1 Year in Business,7947075938,
 K2 Supermarket (Suraj Bhan & Sons) ,7 Ratings,https://www.justdial.com/Chandigarh/K2-Supermarket-Suraj-Bhan-Sons-Near-BSNL-Exchange-Panchkula-Sector-16/0172PX172-X172-220607141555-D4A7_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,SCO-268 Panchkula Sector 16,9:30 AM,7942771339,
 Vohra Store ,141 Ratings,https://www.justdial.com/Panipat/Vohra-Store-Near-Idgah-Panipat-City/9999PX180-X180-211127102014-H7K4_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Model Town Panipat City,8:00 AM,7947173804,
 Jp Mart Ansal ,150 Ratings,https://www.justdial.com/Panipat/Jp-Mart-Ansal-Panipat-City/9999PX180-X180-200909185126-E7G2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Ansal Plaza Panipat City,None,7947404308,
 Jp Mart Salarganj Gate ,6 Ratings,https://www.justdial.com/Panipat/Jp-Mart-Salarganj-Gate-Near-Salarganj-Gate/9999PX180-X180-211202175817-B2F8_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Devi Murti Colony,7:00 AM,7947391704,
 Jp Mart Eldeco ,2 Ratings,https://www.justdial.com/Panipat/Jp-Mart-Eldeco-Baberpur-Mandi-Panipat-City/9999PX180-X180-221114162132-Y7W4_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Eldeco Estate Panipat City,None,7947196181,
 Ashoka Masale ,436 Ratings,https://www.justdial.com/Patiala/Ashoka-Masale-Near-Tripuri-Patiala-HO/9999PX175-X175-170705102200-C1V6_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Tripuri Town Patiala HO,8:00 AM,7947360314,
 Aasman Fresh ,164 Ratings,https://www.justdial.com/Patna/Aasman-Fresh-Sri-Krishnapuri/0612PX612-X612-211214112945-H7C7_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Sri Krishnapuri Sri Krishnapuri,7:00 AM,7947391872,
 Shiva Mega Mart ,5 Ratings,https://www.justdial.com/Patna/Shiva-Mega-Mart-Near-Chhappan-Bhog-Bihar-Regimental-Centre/0612PX612-X612-211119124803-C2G7_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Road Bihar Regimental Centre,None,7947326907,
 Aamantran Enterprises ,1 Ratings,https://www.justdial.com/Patna/Aamantran-Enterprises-Near-IIT-Engeering-College-Bihta/0612PX612-X612-170323124422-K9R6_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,PATNA Bihta,10:15 AM,8123198547,
 Seva Kiranaz ,8 Ratings,https://www.justdial.com/Patna/Seva-Kiranaz-Opp-Patna-Nagar-Nigam-Gulzarbagh/0612PX612-X612-180730162831-L2N8_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Meena Bazar Gulzarbagh,None,7947079651,
 JANAKI SUPER MART ,400 Ratings,https://www.justdial.com/Pondicherry/JANAKI-SUPER-MART-Near-Malliga-Thirumana-Mandapam-Mouroungapakkam/0413PX413-X413-171113154237-X3H7_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Villiyanur Road Mouroungapakkam,7:30 AM,7947375533,
 City Needs Departmental Store ,4 Ratings,https://www.justdial.com/Pondicherry/City-Needs-Departmental-Store-Oppto-Throupathi-Amman-Temple-Pondicherry-Bazaar/0413PX413-X413-200222155106-I6W4_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Kovil Street Pondicherry Bazaar,None,7947259977,
 Shree Rajendra Departmental Stores ,339 Ratings,https://www.justdial.com/Pune/Shree-Rajendra-Departmental-Stores-Behind-Kavediya-Jewellers-Sangavi/020PXX20-XX20-160301122932-A5W6_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Makan Hospital Lane Sangavi,10:30 AM,7947186758,
 Kothari Departmental Stores ,1,161 Ratings,https://www.justdial.com/Rajkot/Kothari-Departmental-Stores-Opposite-Big-Bazar-150-Feet-Ring-Road/0281P281STD8109_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,150 Feet Ring Road,9:30 AM,7947468662
 ANSHIKA BAZAR PRIVATE LIMITED ,7 Ratings,https://www.justdial.com/Ranchi/ANSHIKA-BAZAR-PRIVATE-LIMITED-Near-Bajaj-Showroom-Argora-Chowk/0651PX651-X651-211217131052-W8N2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,VIP Road Argora Chowk,7:00 AM,7947380075,
 New Kannan Supermarket ,4 Ratings,https://www.justdial.com/Salem/New-Kannan-Supermarket-Near-Mumudi-Thalaivasal/0427PX427-X427-170320170659-P5S8_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,AgVeeraganur Street Thalaivasal,7:00 AM,7947077123,
 Veerbhadra Super Market ,53 Ratings,https://www.justdial.com/Sangli/Veerbhadra-Super-Market-Opposite-Water-Tank-Tasgaon-Sangli/9999PX233-X233-171103211505-Z6L2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Road Tasgaon Sangli,9:00 AM,7947365032,
 Kalya Organics ,7 Ratings,https://www.justdial.com/Shimoga/Kalya-Organics-Near-Apmc-Vegetable-Market-Ig-Circle-Vinoba-Nagar/9999P8182-8182-190228203432-N8D3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,100 Feet Road Vinoba Nagar,10:00 AM,7947387370,
 S R Traders Om Mart ,4 Ratings,https://www.justdial.com/Shimoga/S-R-Traders-Om-Mart-Near-Subbaiah-Complex-Jail-Road-Shimoga/9999P8182-8182-201118112759-P8Y5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Jail Road Jail Road Shimoga,None,7947265382,
 DLF Mega Mart Retail Store ,382 Ratings,https://www.justdial.com/Sikar/DLF-Mega-Mart-Retail-Store-Road-No-3-Sikar-Ho/9999P1572-1572-150205211604-N2A4_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Sanwali Road Sikar Ho,None,7947060716,
 Patanjali Chikitsalaya & Mega Store ,75 Ratings,https://www.justdial.com/Surat/Patanjali-Chikitsalaya-Mega-Store-Near-Nandani-2-Opposite-Aagam-Orchid-Vesu/0261PX261-X261-190110094002-R7W5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Vip Road Vesu,9:00 AM,7947256376,
 Barakat Super Market ,71 Ratings,https://www.justdial.com/Thiruvananthapuram/Barakat-Super-Market-Near-Kottakkal-Arya-Vaidasala-Kazhakoottam/0471PX471-X471-210412101416-V3D2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Kazhakoottam Kazhakoottam,8:00 AM,7947180485,
 Jolly'S Mart ,3 Ratings,https://www.justdial.com/Thiruvananthapuram/JollyS-Mart-Near-More-Supermarket-Jagathy/0471PX471-X471-210505113606-N2J8_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Kochar Road Jagathy,None,7942603332,
 S S Traders ,8 Ratings,https://www.justdial.com/Thiruvananthapuram/S-S-Traders-Thiruvananthapuram-Beach/0471PX471-X471-180914232755-V9V9_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Thiruvananthapuram Beach,7:00 AM,7947192515,
 Nachyar Super Market ,1,087 Ratings,https://www.justdial.com/Tirunelveli/Nachyar-Super-Market-Near-Palayamkottai-Railway-Gate-Palayamkottai/0462PX462-X462-000836294992-C4T6_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Trivandrum Road Palayamkottai,9:30 AM,7947267132
 Annapurani Organic Store ,2 Ratings,https://www.justdial.com/Tirunelveli/Annapurani-Organic-Store-Vannarpettai/0462PX462-X462-180906102105-S2R2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,SOUTH BY PASS ROAD Vannarpettai,None,7947396225,
 Refresh Supermarket ,778 Ratings,https://www.justdial.com/Tirunelveli/Refresh-Supermarket-NEAR-SULTHAN-BIRIYANI-HOTEL-Sankarankovil/0462PX462-X462-170316114545-H9A9_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,KALUGUMALAI ROAD Sankarankovil,9:30 AM,7947267372,
 Devmary Naturls ,1 Ratings,https://www.justdial.com/Tirunelveli/Devmary-Naturls-Near-Sahaya-Madha-Church-Perumalpuram/0462PX462-X462-210210213505-K5V5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,NGO A Colony Perumalpuram,None,7942606802,
 Bethel Supermarket ,56 Ratings,https://www.justdial.com/Tirunelveli/Bethel-Supermarket-Near-Government-Engineering-College-Tuckerammalpuram/0462PX462-X462-191112234702-W2P4_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Main Road Tuckerammalpuram,9:00 AM,7947329067,
 D Mart ,17,665 Ratings,https://www.justdial.com/Tirupati/D-Mart-Bairagi-Patteda/9999PX877-X877-171201174859-V5B5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,AIR Bypass Road Bairagi Patteda,10:00 AM,7947397642
 Devotta Shop ,26 Ratings,https://www.justdial.com/Thoothukudi/Devotta-Shop-BSNL-Junction-Tuticorin-Central-Bus-Stand/9999PX461-X461-160901231601-I1L1_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Road Tuticorin Central Bus Stand,10:00 AM,7947377086,
 Aaru Super Bazaar ,27 Ratings,https://www.justdial.com/Ujjain/Aaru-Super-Bazaar-Near-Cosmos-Mall-Nanakheda/9999PX734-X734-200816102021-J6H5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Nanakheda,8:30 AM,7947440190,
 The Shoppe ,2,109 Ratings,https://www.justdial.com/Vadodara/The-Shoppe-Near-Natubhai-Circle-Race-Course/0265PX265-X265-110719142402-C1L9_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Inox Cinema Road Race Course,10:30 AM,7947256213
 Sakshi Departmental Store ,56 Ratings,https://www.justdial.com/Varanasi/Sakshi-Departmental-Store-Near-Police-Chowki-Orderly-Bazar/0542PX542-X542-140309175857-C7N1_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Bazar Market Orderly Bazar,9:00 AM,7947279149,
 Vridhi Stores ,100 Ratings,https://www.justdial.com/Varanasi/Vridhi-Stores-Padini-Kanya-Mahavidyala-Mahmoorganj/0542PX542-X542-170911112003-L2G5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Road-Mahmoorganj Mahmoorganj,None,7947444596,
 Maa Annapurana Galla Bhandar ,1 Ratings,https://www.justdial.com/Varanasi/Maa-Annapurana-Galla-Bhandar-Near-Chetganj-Chauraha-Chetganj/0542PX542-X542-220817220519-B7B9_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Paandariba Road Chetganj,9:30 AM,7947240576,
 Shree Vishnu Mart ,16 Ratings,https://www.justdial.com/Varanasi/Shree-Vishnu-Mart-Near-Sunbeam-Varuna-School-Varuna-Bridge/0542PX542-X542-210623124355-J6C5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Central Rail Road Varuna Bridge,None,7947310954,
 Annapurna Super Market ,1 Ratings,https://www.justdial.com/Varanasi/Annapurna-Super-Market-Near-Ring-Road-Bada-Lalpur/0542PX542-X542-210311135445-A6K9_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Sindhora Road Bada Lalpur,10:00 AM,7947059261,
 Shree Balaji Mart ,3 Ratings,https://www.justdial.com/Varanasi/Shree-Balaji-Mart-Padmazza-Lawn/0542PX542-X542-210903182058-A4Y2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Badi Patiyan,None,7947216760,
 MoM & POP'S Supermarket ,46 Ratings,https://www.justdial.com/Varanasi/MoM-POPS-Supermarket-Near-Value-Plus-Sunderpur/0542PX542-X542-200131180724-L7W9_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Sri Ram Ji Complex Sunderpur,10:00 AM,7947280263,
 Green Berry ,27 Ratings,https://www.justdial.com/Varanasi/Green-Berry-In-Kuber-Mall-Rathyatra/0542PX542-X542-170726151644-G9K8_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Rathyatra Road Rathyatra,None,7947279531,
 Anshika Bazar ,548 Ratings,https://www.justdial.com/Varanasi/Anshika-Bazar-Near-Jeevandeep-Education-Institute-Bada-Lalpur/0542PX542-X542-160317160218-Z1Y2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Meerapur Basai Road Bada Lalpur,9:00 AM,7947247708,
 Akshaya Super Market ,3 Ratings,https://www.justdial.com/Vellore/Akshaya-Super-Market-Near-Indian-Bank-Puttuthakku/9999PX416-X416-220420132431-A3Z5_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Big Street Puttuthakku,7:00 AM,7947222367,
 Moonmart Super Market ,169 Ratings,https://www.justdial.com/Warangal/Moonmart-Super-Market-Near-Vishnupriya-Garden-Hanamkonda/9999PX870-X870-211013205345-G7F2_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Vidyuth Nagar Hanamkonda,6:00 AM,7947243152,
 Sunitha Ladies Emporium ,311 Ratings,https://www.justdial.com/Warangal/Sunitha-Ladies-Emporium-Beside-Vagdevi-College-Kishanpura-Hanamkonda/9999PX870-X870-110125134933-I1A3_BZDET?ncatid=10156727&area=&search=undefined&mncatname=Departmental%20Stores,Door No 2-2-410 Hanamkonda,None,7942780391,
